Hello, world!
num: 001010111110   result: 0010 1011 1110
num: 001011000001   result: 0010 1100 0001
num: 001011000100   result: 0010 1100 0100
num: 001011000111   result: 0010 1100 0111
num: 001011001010   result: 0010 1100 1010
num: 001011001101   result: 0010 1100 1101
num: 001011010000   result: 0010 1101 0000
num: 001011010011   result: 0010 1101 0011
num: 001011010110   result: 0010 1101 0110
num: 001011011001   result: 0010 1101 1001
num: 001011011100   result: 0010 1101 1100
num: 001011011111   result: 0010 1101 1111
num: 001011100010   result: 0010 1110 0010
num: 001011100101   result: 0010 1110 0101
num: 001011101000   result: 0010 1110 1000
num: 001011101011   result: 0010 1110 1011
num: 001011101110   result: 0010 1110 1110
num: 001011110001   result: 0010 1111 0001
num: 001011110100   result: 0010 1111 0100
num: 001011110111   result: 0010 1111 0111
num: 001011111010   result: 0010 1111 1010
num: 001011111101   result: 0010 1111 1101
num: 001100000000   result: 0010 0000 0000
num: 001100000011   result: 0011 0000 0011
num: 001100000110   result: 0011 0000 0110
num: 001100001001   result: 0011 0000 1001
num: 001100001100   result: 0011 0000 1100
num: 001100001111   result: 0011 0000 1111
num: 001100010010   result: 0011 0001 0010
num: 001100010101   result: 0011 0001 0101
num: 001100011000   result: 0011 0001 1000
num: 001100011011   result: 0011 0001 1011
num: 001100011110   result: 0011 0001 1110
num: 001100100001   result: 0011 0010 0001
num: 001100100100   result: 0011 0010 0100
num: 001100100111   result: 0011 0010 0111
num: 001100101010   result: 0011 0010 1010
num: 001100101101   result: 0011 0010 1101
num: 001100110000   result: 0011 0011 0000
num: 001100110011   result: 0011 0011 0011
num: 001100110110   result: 0011 0011 0110
num: 001100111001   result: 0011 0011 1001
num: 001100111100   result: 0011 0011 1100
num: 001100111111   result: 0011 0011 1111
num: 001101000010   result: 0011 0100 0010
num: 001101000101   result: 0011 0100 0101
num: 001101001000   result: 0011 0100 1000
num: 001101001011   result: 0011 0100 1011
num: 001101001110   result: 0011 0100 1110
num: 001101010001   result: 0011 0101 0001
num: 001101010100   result: 0011 0101 0100
num: 001101010111   result: 0011 0101 0111
num: 001101011010   result: 0011 0101 1010
num: 001101011101   result: 0011 0101 1101
num: 001101100000   result: 0011 0110 0000
num: 001101100011   result: 0011 0110 0011
num: 001101100110   result: 0011 0110 0110
num: 001101101001   result: 0011 0110 1001
num: 001101101100   result: 0011 0110 1100
num: 001101101111   result: 0011 0110 1111
num: 001101110010   result: 0011 0111 0010
num: 001101110101   result: 0011 0111 0101
num: 001101111000   result: 0011 0111 1000
num: 001101111011   result: 0011 0111 1011
num: 001101111110   result: 0011 0111 1110
num: 001110000001   result: 0011 1000 0001
num: 001110000100   result: 0011 1000 0100
num: 001110000111   result: 0011 1000 0111
num: 001110001010   result: 0011 1000 1010
num: 001110001101   result: 0011 1000 1101
num: 001110010000   result: 0011 1001 0000
num: 001110010011   result: 0011 1001 0011
num: 001110010110   result: 0011 1001 0110
num: 001110011001   result: 0011 1001 1001
num: 001110011100   result: 0011 1001 1100
num: 001110011111   result: 0011 1001 1111
num: 001110100010   result: 0011 1010 0010
num: 001110100101   result: 0011 1010 0101
num: 001110101000   result: 0011 1010 1000
num: 001110101011   result: 0011 1010 1011
num: 001110101110   result: 0011 1010 1110
num: 001110110001   result: 0011 1011 0001
num: 001110110100   result: 0011 1011 0100
num: 001110110111   result: 0011 1011 0111
num: 001110111010   result: 0011 1011 1010
num: 001110111101   result: 0011 1011 1101
num: 001111000000   result: 0011 1100 0000
num: 001111000011   result: 0011 1100 0011
num: 001111000110   result: 0011 1100 0110
num: 001111001001   result: 0011 1100 1001
num: 001111001100   result: 0011 1100 1100
num: 001111001111   result: 0011 1100 1111
num: 001111010010   result: 0011 1101 0010
num: 001111010101   result: 0011 1101 0101
num: 001111011000   result: 0011 1101 1000
num: 001111011011   result: 0011 1101 1011
num: 001111011110   result: 0011 1101 1110
num: 001111100001   result: 0011 1110 0001
num: 001111100100   result: 0011 1110 0100
num: 001111100111   result: 0011 1110 0111
num: 001111101010   result: 0011 1110 1010
num: 001111101101   result: 0011 1110 1101
num: 001111110000   result: 0011 1111 0000
num: 001111110011   result: 0011 1111 0011
num: 001111110110   result: 0011 1111 0110
num: 001111111001   result: 0011 1111 1001
num: 001111111100   result: 0011 1111 1100
num: 001111111111   result: 0011 1111 1111
num: 010000000010   result: 0100 0000 0010
num: 010000000101   result: 0100 0000 0101
num: 010000001000   result: 0100 0000 1000
num: 010000001011   result: 0100 0000 1011
num: 010000001110   result: 0100 0000 1110
num: 010000010001   result: 0100 0001 0001
num: 010000010100   result: 0100 0001 0100
num: 010000010111   result: 0100 0001 0111
num: 010000011010   result: 0100 0001 1010
num: 010000011101   result: 0100 0001 1101
num: 010000100000   result: 0100 0010 0000
num: 010000100011   result: 0100 0010 0011
num: 010000100110   result: 0100 0010 0110
num: 010000101001   result: 0100 0010 1001
num: 010000101100   result: 0100 0010 1100
num: 010000101111   result: 0100 0010 1111
num: 010000110010   result: 0100 0011 0010
num: 010000110101   result: 0100 0011 0101
num: 010000111000   result: 0100 0011 1000
num: 010000111011   result: 0100 0011 1011
